025-02-20 21:02:52,878 - Loaded spaCy model in 1.70 seconds
2025-02-20 21:17:26,773 - Batch 500-550 processed in 1.36 seconds | Locations found: 3 | Total locations: 33
2025-02-20 21:17:28,339 - Batch 550-600 processed in 1.56 seconds | Locations found: 2 | Total locations: 35
2025-02-20 21:17:29,533 - Batch 600-650 processed in 1.19 seconds | Locations found: 7 | Total locations: 42
2025-02-20 21:17:31,531 - Batch 650-700 processed in 2.00 seconds | Locations found: 0 | Total locations: 42
2025-02-20 21:17:32,774 - Batch 700-750 processed in 1.24 seconds | Locations found: 2 | Total locations: 44
2025-02-20 21:17:34,355 - Batch 750-800 processed in 1.58 seconds | Locations found: 3 | Total locations: 47
2025-02-20 21:17:35,613 - Batch 800-850 processed in 1.26 seconds | Locations found: 3 | Total locations: 50
2025-02-20 21:17:36,645 - Batch 850-900 processed in 1.03 seconds | Locations found: 7 | Total locations: 57
2025-02-20 21:17:38,209 - Batch 900-950 processed in 1.56 seconds | Locations found: 9 | Total locations: 66
2025-02-20 21:17:39,809 - Batch 950-1000 processed in 1.60 seconds | Locations found: 6 | Total locations: 72
2025-02-20 21:17:42,478 - Batch 1000-1050 processed in 2.67 seconds | Locations found: 4 | Total locations: 76
2025-02-20 21:17:43,994 - Batch 1050-1100 processed in 1.52 seconds | Locations found: 4 | Total locations: 80
2025-02-20 21:17:46,498 - Batch 1100-1150 processed in 2.50 seconds | Locations found: 4 | Total locations: 84
2025-02-20 21:17:48,398 - Batch 1150-1200 processed in 1.90 seconds | Locations found: 2 | Total locations: 86
2025-02-20 21:17:49,479 - Batch 1200-1250 processed in 1.08 seconds | Locations found: 1 | Total locations: 87
2025-02-20 21:17:50,687 - Batch 1250-1300 processed in 1.21 seconds | Locations found: 0 | Total locations: 87
2025-02-20 21:17:52,597 - Batch 1300-1350 processed in 1.91 seconds | Locations found: 4 | Total locations: 91
2025-02-20 21:17:54,011 - Batch 1350-1400 processed in 1.41 seconds | Locations found: 1 | Total locations: 92
2025-02-20 21:17:55,951 - Batch 1400-1450 processed in 1.94 seconds | Locations found: 6 | Total locations: 98
2025-02-20 21:17:57,821 - Batch 1450-1500 processed in 1.87 seconds | Locations found: 3 | Total locations: 101
